ID,Assess,Score
2D29,T1,0.0
2A01,R1,71.3
2A02,R1,45.5
2A03,R1,75.5
2A04,R1,81.0
2A05,R1,88.5
2A06,R1,56.0
2A07,R1,49.5
2A08,R1,73.8
2A09,R1,84.0
2A10,R1,66.5
2A11,R1,90.5
2A12,R1,97.5
2A13,R1,54.8
2A14,R1,98.5
2A15,R1,96.0
2A16,R1,96.3
2A17,R1,93.5
2A18,R1,61.0
2A19,R1,82.8
2A20,R1,64.0
2A21,R1,60.0
2A22,R1,/
2A23,R1,75.0
2A24,R1,63.3
2A25,R1,64.8
2A26,R1,92.3
2A27,R1,77.0
2A28,R1,54.3
2A29,R1,/
2A30,R1,66.0
2A31,R1,83.5
2A32,R1,83.0
2B01,R1,82.0
2B02,R1,80.8
2B03,R1,91.5
2B04,R1,82.5
2B05,R1,75.8
2B06,R1,77.5
2B07,R1,73.8
2B08,R1,87.5
2B09,R1,64.5
2B10,R1,53.8
2B11,R1,75.5
2B12,R1,92.8
2B13,R1,91.3
2B14,R1,59.8
2B15,R1,78.5
2B16,R1,71.0
2B17,R1,52.8
2B18,R1,97.0
2B19,R1,72.8
2B20,R1,100.0
2B21,R1,82.0
2B22,R1,90.8
2B23,R1,75.0
2B24,R1,35.0
2B25,R1,63.8
2B26,R1,98.5
2B27,R1,60.8
2B28,R1,59.5
2B29,R1,66.5
2B30,R1,70.5
2B31,R1,82.3
2B32,R1,81.8
2B33,R1,93.3
2C01,R1,71.5
2C02,R1,54.5
2C03,R1,32.0
2C04,R1,41.3
2C05,R1,70.0
2C07,R1,43.3
2C08,R1,43.0
2C09,R1,47.0
2C10,R1,21.3
2C11,R1,65.0
2C12,R1,45.3
2C13,R1,56.8
2C14,R1,31.3
2C15,R1,69.5
2C16,R1,51.3
2C17,R1,38.5
2C18,R1,37.5
2C19,R1,70.0
2C20,R1,44.3
2C21,R1,36.3
2C22,R1,15.5
2C23,R1,50.8
2C24,R1,73.3
2C25,R1,24.5
2C26,R1,44.0
2C27,R1,57.0
2C28,R1,47.5
2C29,R1,50.5
2D01,R1,73.0
2D02,R1,40.8
2D03,R1,33.8
2D04,R1,60.5
2D05,R1,78.0
2D06,R1,63.5
2D07,R1,52.8
2D08,R1,53.3
2D09,R1,52.8
2D10,R1,45.8
2D11,R1,70.3
2D12,R1,49.5
2D13,R1,66.0
2D14,R1,34.8
2D15,R1,36.0
2D16,R1,52.3
2D17,R1,60.8
2D18,R1,30.0
2D19,R1,33.0
2D20,R1,65.8
2D21,R1,40.0
2D22,R1,57.5
2D23,R1,71.5
2D24,R1,47.0
2D25,R1,51.8
2D26,R1,52.0
2D27,R1,53.0
2D28,R1,52.0
2D29,R1,11.5
